radius_um,wavelength_nm,theta_deg,intensity
5.0,410.0,43.0,0.00028853258222216255
5.0,410.0,44.0,0.0002418014002543002
5.0,410.0,45.0,0.00041518475379477776
5.0,410.0,46.0,0.00014973667077412988
5.0,410.0,47.0,0.0003313393991287166
5.0,410.0,48.0,0.00026320823045817654
5.0,410.0,49.0,0.00016114401345426247
5.0,410.0,50.0,0.0003316565304144461
5.0,410.0,51.0,0.00010924050771792462
5.0,410.0,52.0,0.0002697999603646471
5.0,410.0,53.0,0.00019411195518408858
5.0,410.0,54.0,0.00012289275331314243
5.0,410.0,55.0,0.00026433994179830036
5.0,410.0,56.0,8.342200736977195e-05
5.0,410.0,57.0,0.00019493852356790683
5.0,410.0,58.0,0.0001371502050532339
5.0,410.0,59.0,0.0001025968941363082
5.0,410.0,60.0,0.0001699654242277352
5.0,410.0,61.0,6.538731110996574e-05
5.0,410.0,62.0,0.0001352149340223487
5.0,410.0,63.0,9.754394364079837e-05
5.0,410.0,64.0,6.540837334435182e-05
5.0,410.0,65.0,0.00011079012634936428
5.0,410.0,66.0,5.5444400703422605e-05
5.0,410.0,67.0,6.512014671737803e-05
5.0,410.0,68.0,7.399016687302384e-05
5.0,410.0,69.0,3.401191309893978e-05
5.0,410.0,70.0,6.308602726483743e-05
5.0,410.0,71.0,3.772400733464093e-05
5.0,410.0,72.0,3.503794655300641e-05
5.0,410.0,73.0,5.271268275321709e-05
5.0,410.0,74.0,1.571999397114519e-05
5.0,410.0,75.0,5.1391953323345744e-05
5.0,410.0,76.0,2.6339836999415052e-05
5.0,410.0,77.0,2.747428373317018e-05
5.0,410.0,78.0,4.386959951816209e-05
5.0,410.0,79.0,1.6617456272533374e-05
5.0,410.0,80.0,3.663918711718841e-05
5.0,410.0,81.0,2.2819535937140258e-05
5.0,410.0,82.0,2.19015754582854e-05
5.0,410.0,83.0,2.218802735884154e-05
5.0,410.0,84.0,1.6765157042469645e-05
5.0,410.0,85.0,1.3667056756783966e-05
5.0,410.0,86.0,1.4208647330227062e-05
5.0,410.0,87.0,1.1039341070338876e-05
5.0,410.0,88.0,8.638768684666759e-06
5.0,410.0,89.0,1.3983933301165458e-05
5.0,410.0,90.0,4.942481854071514e-06
5.0,410.0,91.0,1.6680779919532388e-05
5.0,410.0,92.0,6.5139984501602e-06
5.0,410.0,93.0,1.413124556523764e-05
5.0,410.0,94.0,1.2011333130524907e-05
5.0,410.0,95.0,7.901821071809629e-06
5.0,410.0,96.0,1.5910341873550772e-05
5.0,410.0,97.0,2.7120443921663206e-06
5.0,410.0,98.0,1.2391085217794703e-05
5.0,410.0,99.0,3.3752788508643046e-06
5.0,410.0,100.0,6.384024510191686e-06
5.0,410.0,101.0,5.491844431274516e-06
5.0,410.0,102.0,7.135287880637919e-06
5.0,410.0,103.0,7.033827959894921e-06
5.0,410.0,104.0,1.0051479647957424e-05
5.0,410.0,105.0,1.457270378232313e-05
5.0,410.0,106.0,5.678121706215679e-06
5.0,410.0,107.0,1.9482811079200002e-05
5.0,410.0,108.0,4.890081913857262e-06
5.0,410.0,109.0,1.017134253819541e-05
5.0,410.0,110.0,1.0412194976158377e-05
5.0,410.0,111.0,4.873304846601065e-06
5.0,410.0,112.0,9.687246685439893e-06
5.0,410.0,113.0,1.418443530570494e-05
5.0,410.0,114.0,1.573800209136647e-05
5.0,410.0,115.0,1.651009336835331e-05
5.0,410.0,116.0,2.9808120162920866e-05
5.0,410.0,117.0,1.2076350926547935e-05
5.0,410.0,118.0,2.26172757660487e-05
5.0,410.0,119.0,1.3701985306385255e-05
5.0,410.0,120.0,8.598557605700846e-06
5.0,410.0,121.0,1.1732512471988091e-05
5.0,410.0,122.0,1.456810956698315e-05
5.0,410.0,123.0,2.2532226068524314e-05
5.0,410.0,124.0,1.9694804158029478e-05
5.0,410.0,125.0,3.8440703655565955e-05
5.0,410.0,126.0,2.1489969114767673e-05
5.0,410.0,127.0,2.4201099541867148e-05
5.0,410.0,128.0,1.3651595384305275e-05
5.0,410.0,129.0,8.476981857559791e-06
5.0,410.0,130.0,2.4549756956163544e-06
5.0,410.0,131.0,1.751172591303812e-05
5.0,410.0,132.0,1.352714016944469e-05
5.0,410.0,133.0,2.100552684838101e-05
5.0,410.0,134.0,5.3857615578510525e-05
5.0,410.0,135.0,4.7051087933135e-06
5.0,410.0,136.0,4.931623462787372e-05
5.0,410.0,137.0,3.545136802539719e-05
5.0,410.0,138.0,7.543259906723122e-05
5.0,410.0,139.0,7.244365421519631e-05
5.0,410.0,140.0,6.60360613358487e-05
5.0,410.0,141.0,0.00018568353920214972
5.0,410.0,142.0,0.00010411197364084974
5.0,410.0,143.0,0.00012336554631477357
5.0,410.0,144.0,0.00012101587435744652
5.0,410.0,145.0,0.000124110765652437
5.0,410.0,146.0,0.00014681008650137864
5.0,410.0,147.0,6.83026978236993e-05
5.0,410.0,148.0,6.433460272501094e-05
5.0,410.0,149.0,4.6416227763377234e-05
5.0,410.0,150.0,5.190667018922457e-05
5.0,410.0,151.0,4.9181318333520895e-05
5.0,410.0,152.0,0.00010123661039202184
5.0,410.0,153.0,7.078651058556723e-05
5.0,410.0,154.0,5.05712174840548e-05
5.0,410.0,155.0,7.658971664068551e-05
5.0,410.0,156.0,4.6645084844331916e-05
5.0,410.0,157.0,5.600562687090985e-05
5.0,410.0,158.0,6.14681393054499e-05
5.0,410.0,159.0,9.363912572441316e-05
5.0,410.0,160.0,4.505794830745762e-05
5.0,410.0,161.0,5.822136901149199e-05
