alpha_deg,red_650nm,green_550nm,blue_450nm,white_sum
9.1,0.765654,0.713203,0.34949,1.82835
9.15,0.758068,0.687818,0.384201,1.83009
9.2,0.74298,0.662081,0.409786,1.81485
9.25,0.723671,0.633408,0.430059,1.78714
9.3,0.703651,0.598983,0.452059,1.75469
9.35,0.686079,0.557002,0.483487,1.72657
9.4,0.673123,0.507517,0.529751,1.71039
9.45,0.665399,0.452455,0.591344,1.7092
9.5,0.661679,0.394931,0.662624,1.71923
9.55,0.659071,0.338357,0.733004,1.73043
9.6,0.653714,0.285806,0.79048,1.73
9.65,0.641814,0.239693,0.826024,1.70753
9.7,0.620676,0.201545,0.836777,1.659
9.75,0.589365,0.171693,0.826743,1.5878
9.8,0.548806,0.149038,0.805023,1.50287
9.85,0.501362,0.131265,0.782486,1.41511
9.9,0.450144,0.115702,0.7679,1.33375
9.95,0.398352,0.100517,0.764574,1.26344
10,0.348823,0.0855968,0.768759,1.20318
10.05,0.303764,0.072567,0.770878,1.14721
10.1,0.264583,0.0639391,0.759466,1.08799
10.15,0.231712,0.0619565,0.72615,1.01982
10.2,0.204483,0.0678214,0.669258,0.941563
10.25,0.181217,0.0816042,0.594538,0.857359
10.3,0.159654,0.102608,0.513071,0.775333
10.35,0.13769,0.129738,0.437585,0.705013
10.4,0.114177,0.161638,0.378423,0.654238
10.45,0.0894047,0.196758,0.34023,0.626392
10.5,0.0650293,0.233635,0.320479,0.619143
10.55,0.0434321,0.271409,0.310809,0.62565
10.6,0.0268258,0.31021,0.301029,0.638065
10.65,0.0165254,0.350946,0.28404,0.651511
10.7,0.0126997,0.394435,0.25913,0.666265
10.75,0.0146335,0.440343,0.232104,0.687081
10.8,0.0212529,0.486667,0.21267,0.72059
10.85,0.031576,0.530168,0.210717,0.772461
10.9,0.0448792,0.567513,0.232911,0.845303
10.95,0.0606202,0.596415,0.280326,0.937361
11,0.0783365,0.616151,0.347625,1.04211
11.05,0.0977218,0.627368,0.424452,1.14954
11.1,0.118884,0.631538,0.499091,1.24951
11.15,0.142567,0.630503,0.562972,1.33604
11.2,0.170044,0.626191,0.613675,1.40991
11.25,0.202577,0.620268,0.654828,1.47767
11.3,0.24061,0.613544,0.693375,1.54753
11.35,0.283131,0.605356,0.736092,1.62458
11.4,0.327604,0.59345,0.786882,1.70793
11.45,0.370589,0.574725,0.845226,1.79054
11.5,0.408804,0.546665,0.905685,1.86115
11.55,0.440098,0.508667,0.958795,1.90756
11.6,0.463904,0.462491,0.99383,1.92023
11.65,0.480995,0.411587,1.00275,1.89533
11.7,0.492827,0.359776,0.983377,1.83598
11.75,0.500864,0.310087,0.939941,1.75089
11.8,0.506265,0.264278,0.880995,1.65154
11.85,0.509927,0.222979,0.816265,1.54917
11.9,0.512651,0.186067,0.75405,1.45277
11.95,0.515085,0.152965,0.699509,1.36756
12,0.517356,0.122947,0.653496,1.2938
12.05,0.51861,0.0956626,0.612218,1.22649
12.1,0.516862,0.0718771,0.568637,1.15738
12.15,0.509438,0.0539424,0.515812,1.07919
12.2,0.493954,0.045446,0.4507,0.9901
12.25,0.469356,0.0498823,0.376201,0.89544
12.3,0.436471,0.0689213,0.300447,0.805839
12.35,0.397731,0.101256,0.234201,0.733188
12.4,0.356225,0.142744,0.187935,0.686904
12.45,0.314582,0.187789,0.169291,0.671662
12.5,0.274316,0.231189,0.180924,0.68643
12.55,0.235887,0.269594,0.219151,0.724632
12.6,0.199317,0.302116,0.274586,0.776019
12.65,0.164845,0.330243,0.335394,0.830482
12.7,0.133148,0.357362,0.391909,0.882419
12.75,0.105028,0.387997,0.440029,0.933054
12.8,0.0808715,0.426594,0.48165,0.989115
12.85,0.0603806,0.475851,0.5225,1.05873
12.9,0.0428624,0.53506,0.569082,1.147
12.95,0.0279515,0.599346,0.625955,1.25325
13,0.016265,0.660489,0.693594,1.37035
13.05,0.00948053,0.709236,0.767057,1.48577
13.1,0.00968109,0.738135,0.836418,1.58423
13.15,0.0183136,0.743613,0.889672,1.6516
13.2,0.0353975,0.726536,0.917188,1.67912
13.25,0.0594962,0.691371,0.915244,1.66611
13.3,0.0884835,0.644675,0.886688,1.61985
13.35,0.12062,0.593574,0.838924,1.55312
13.4,0.155249,0.544455,0.781025,1.48073
13.45,0.192686,0.501771,0.721382,1.41584
13.5,0.233401,0.466993,0.66595,1.36634
13.55,0.277091,0.438157,0.616769,1.33202
13.6,0.322288,0.410557,0.571358,1.3042
13.65,0.366783,0.378655,0.524079,1.26952
13.7,0.408585,0.338486,0.469438,1.21651
13.75,0.446746,0.289385,0.405492,1.14162
13.8,0.481508,0.234191,0.335327,1.05103
13.85,0.513669,0.178034,0.266211,0.957914
13.9,0.54363,0.126583,0.207673,0.877886
13.95,0.570798,0.0847469,0.169663,0.825208
14,0.593763,0.0561946,0.160558,0.810515
14.05,0.611094,0.0433084,0.184428,0.838831
14.1,0.622176,0.0470143,0.238316,0.907506
14.15,0.627419,0.0663725,0.311639,1.00543
14.2,0.627654,0.0983941,0.389111,1.11516
14.25,0.623112,0.13863,0.456055,1.2178
14.3,0.612722,0.182529,0.503322,1.29857
14.35,0.594342,0.226859,0.529621,1.35082
14.4,0.565889,0.270329,0.541048,1.37727
14.45,0.526746,0.313094,0.548597,1.38844
14.5,0.478575,0.355664,0.564148,1.39839
14.55,0.424997,0.398134,0.595293,1.41842
14.6,0.370296,0.44018,0.640646,1.45112
14.65,0.317904,0.481532,0.688473,1.48791
14.7,0.26952,0.522117,0.720551,1.51219
14.75,0.225278,0.561461,0.719902,1.50664
14.8,0.184685,0.597696,0.678358,1.46074
14.85,0.147581,0.627112,0.60009,1.37478
14.9,0.114478,0.644875,0.500085,1.25944
14.95,0.0861257,0.646697,0.399097,1.13192
15,0.0628065,0.630463,0.31723,1.0105
15.05,0.0440484,0.596891,0.267782,0.908721
15.1,0.0291444,0.549033,0.252991,0.831168
15.15,0.0182079,0.491226,0.263709,0.773142
15.2,0.0129886,0.428271,0.284074,0.725334
15.25,0.0167049,0.365067,0.299478,0.681249
15.3,0.0327299,0.3063,0.303598,0.642628
15.35,0.0627452,0.255713,0.300689,0.619148
15.4,0.105407,0.215037,0.302518,0.622962
15.45,0.156353,0.183355,0.322486,0.662194
15.5,0.209624,0.157648,0.370084,0.737356
15.55,0.259741,0.134558,0.447243,0.841542
15.6,0.303347,0.112414,0.546907,0.962668
15.65,0.339638,0.0922855,0.654134,1.08606
15.7,0.369601,0.0774304,0.750138,1.19717
15.75,0.39477,0.0716297,0.818331,1.28473
15.8,0.416376,0.0775539,0.849662,1.34359
15.85,0.435318,0.0960651,0.84451,1.37589
15.9,0.452661,0.126481,0.81069,1.38983
15.95,0.46993,0.167136,0.759622,1.39669
16,0.488617,0.215624,0.702925,1.40717
16.05,0.508992,0.268752,0.64995,1.42769
16.1,0.528967,0.322728,0.605586,1.45728
16.15,0.543939,0.373936,0.568531,1.48641
16.2,0.548057,0.419965,0.531657,1.49968
16.25,0.536454,0.460072,0.485594,1.48212
16.3,0.507333,0.494501,0.424222,1.42606
16.35,0.462763,0.523028,0.348889,1.33468
16.4,0.407776,0.543826,0.269069,1.22067
16.45,0.348309,0.55365,0.19971,1.10167
16.5,0.289187,0.549363,0.157052,0.995602
16.55,0.233187,0.529774,0.154179,0.91714
16.6,0.181479,0.496504,0.196662,0.874646
16.65,0.134824,0.453353,0.279289,0.867466
